workload,workload_type,workload_size,description,algorithm,frames,page_faults,total_accesses,fault_rate_pct
random_sm_wide,random,sm,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",Otimo,32,1394,2000,69.7000
random_sm_wide,random,sm,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",Otimo,64,1161,2000,58.0500
random_sm_wide,random,sm,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",Otimo,128,889,2000,44.4500
random_md_huge,random,md,"Acesso aleatorio | Medio, universo enorme (10k refs, 2000 pags)",FIFO,2,9989,10000,99.8900
random_md_huge,random,md,"Acesso aleatorio | Medio, universo enorme (10k refs, 2000 pags)",FIFO,4,9982,10000,99.8200
random_md_huge,random,md,"Acesso aleatorio | Medio, universo enorme (10k refs, 2000 pags)",FIFO,8,9959,10000,99.5900
random_md_huge,random,md,"Acesso aleatorio | Medio, universo enorme (10k refs, 2000 pags)",FIFO,16,9918,10000,99.1800
random_md_huge,random,md,"Acesso aleatorio | Medio, universo enorme (10k refs, 2000 pags)",FIFO,32,9851,10000,98.5100
random_md_huge,random,md,"Acesso aleatorio | Medio, universo enorme (10k refs, 2000 pags)",FIFO,64,9694,10000,96.9400
random_md_huge,random,md,"Acesso aleatorio | Medio, universo enorme (10k refs, 2000 pags)",FIFO,128,9375,10000,93.7500
random_md_huge,random,md,"Acesso aleatorio | Medio, universo enorme (10k refs, 2000 pags)",LRU,2,9989,10000,99.8900
random_md_huge,random,md,"Acesso aleatorio | Medio, universo enorme (10k refs, 2000 pags)",LRU,4,9982,10000,99.8200
random_md_huge,random,md,"Acesso aleatorio | Medio, universo enorme (10k refs, 2000 pags)",LRU,8,9959,10000,99.5900
random_md_huge,random,md,"Acesso aleatorio | Medio, universo enorme (10k refs, 2000 pags)",LRU,16,9917,10000,99.1700
random_md_huge,random,md,"Acesso aleatorio | Medio, universo enorme (10k refs, 2000 pags)",LRU,32,9850,10000,98.5000
random_md_huge,random,md,"Acesso aleatorio | Medio, universo enorme (10k refs, 2000 pags)",LRU,64,9694,10000,96.9400
